cluster,barcode,abo_url,system_id,year,marker,work_title,main_title
0,Z180648307,http://data.onb.ac.at/ABO/+Z180648307,AC10283495,1679,TravelogueD17 Europa Asien; TravelogueD17 Orient,,Kurtze und wahrhafftige Reise=Beschreibung/ Der Reiß von Erffurt auß Thüringen nach dem gewesenen gelobten Lande/ und der Heil. Stadt Jerusalem; Mit beygefügten Abriß der Gelegenheit gedachter Stadt/ neben der itzigen Gestalt des Tempels und H. Grabes/ Dabey auch mehrentheils erzehlet seynd die Länder/ Städte und Oerter/ durch und an welchen hin/ ich in eigner Person beydes zu Wasser und zu Lande hinein und herausser warts gereiset als seynd: Meissen/ Francken/ Schwaben und Schweitzerland/ Lombardey/ Jtalien/ Sardinien/ Malta/ Sicilien Candia Cypern/ Palestina/ Pamphilien/ Cilicien/ Syrien/ Barbaria/ Spanien/ Portugal/ Gallicien/ Franckreich/ Engelland/ Holland/ Frießland/ Westphalen und andere Oerter mehr; verfertiget durch Hieronymum Scheidt
1,Z220300106,http://data.onb.ac.at/ABO/+Z220300106,AC10156117,1622,TravelogueD17 Europa,,Reise durch Welschland vnd Hispanien/; Darin außführlich vnd mit allen Vmbständen beschrieben wird/ wie nicht alleine dieselbe von einem Ort zum andern  am füglichsten vnd bequemesten anzustellen/ Sondern was auch allenthalben denckwürdiges zu sehen und zu mercken ist:; Genommen aus Herrn Johann Wilhelms Neumair von Ramßla/ daselbsten/ etc. Itinerario Europæo. Vnd denen jetzigen/ welche an solche Ort zu reisen in willens seyn möchten/ Zu sonderbarer guter information vnd nachrichtung in den druck gegeben. Durch Hans Chilian Neumaier von Ramßla
2,Z159948701,http://data.onb.ac.at/ABO/+Z159948701,AC07913036,1640,TravelogueD17 Europa,,"Itinerarium Italiæ Nov-Antiquæ: Oder/ Raiß=Beschreibung durch Jtalien;; Darinn Nicht allein viel vnderschiedliche Weg durch das Welschland selbsten/ vnd in dasselbe / auß Teutschland vnd Franckreich/ vber das Gebürg/ oder die Alpen/ sampt den Meilen/ verzeichnet/ vnd das alte Jtalien mit dem jetzigen Welschland verglichen: Sondern auch desselben vornehmbste Landschafften/ Stätt/ Vestungen/ vnd andere Ort/ sampt jhren Qualitäten/ Raritäten/ Antiquitäten/ vnd zugehörigen Sachen/ so die Natur/ vnd Kunst/ denselben vorgebildet vnd beschrieben ; Deßgleichen allerhand Erinnerungen/ von den jetzigen Potentaten in Jtalia/ den vornehmsten Fürstlich= vnd andern Häusern/ vnd Geschlechten daselbst: dem Geistlich= vnd Politischen Stand/ Regiments- vnd andern Sachen ; der Jnnwohner Sitten/ Gebräuchen/ vnd dergleichen/ mit eingebracht/ vnd biß auff vnsere jetzige Zeit/ deducirt werden:; Alles/ zum Theil auß eygener Erfahrung/ zum Theil aber auß den besten alten und newen Scribenten/ auch vielen in vnderschiedlichen Spraachen gedruckten/ vnd geschriebenen Raißbüchern/ so wiel deren zu bekommen gewesen/ mit Fleiß colligirt, vnd in offenen Druck gegeben Durch Martinum Zeillerum"
3,Z164594706,http://data.onb.ac.at/ABO/+Z164594706,AC09695833,1687,TravelogueD17 Asien Europa; TravelogueD17 Orient,"Relatione del viaggio fatto à Constantinopoli, e ritorno in Germania, del Conte Alberto Caprara; 1684","Außführliche Reisz=Beschreibung/ Von Wien nach Constantinopel/ und wieder zurück in Teutschland/; auch was sich Merckwürdiges dabey zugetragen:  Deß Hoch=Gebohrnen Grafen und Herrn/ Herrn Albrecht Caprara/ etc. etc. Welche Er als Jhro Römisch=Keyserl. Maj. Extraordinari-Gesandter und Gevollmächtigter/ Den Stillstand mit der Ottomannis. Pforten zu verlängern/ verrichtet.; Beschrieben von Iohanne Benaglia, Gesandtschaffts=Secretario. Anjetzo auf vielfältiges Begehren/ auß dem Jtalianischen/ getreulich in die Hoch=Teutsche Sprache übersetzt"
4,Z201274103,http://data.onb.ac.at/ABO/+Z201274103,AC10425489,1610,TravelogueD17 Europa Asien; TravelogueD17 Orient,"Beschreibung Einer Reiß aus Teutschland biß in das gelobte Landt Palaestina, unnd gen Jerusalem, auch auff den Berg Synai","Beschreibung Einer Reiß auß Teutschland biß in das gelobte Landt Palæstina, vnnd gen Jerusalem/ auch auff den Berg Synai/ von dannen widerumb zu ruck auff Venedig vnd Teutschlandt; Durch den Edlen vnnd Gestrengen Herrn Bernhard Walther/ von Walterßweyl/ Fürstl. Durchl. Ertzherzog Maximiliani Ernesti/ zu Oesterreich/ etc. Cammerer und obrister Stallmeister eygner Person besichtigt/ vnd beschriben. Gott dem Allmechtigen zu forderst vnd vnserm Herrn Jesu Christo zu ehrn vnd lobwürdigister gedechtnuß. Wie auch sein heiliges Grab/ warhafftiger eygentlicher form vnd gestalt/ wie solches noch auff heutigen tag in der Statt Jerusalem zusehen ist/ durch schöne Figuren mennigklich zu gutem für augen gestelt. Darneben auch mehrerley denckwürdige sachen vmbstendig vermeldet werden"
5,Z19753230X,http://data.onb.ac.at/ABO/+Z19753230X,AC09807605,1676,TravelogueD17 Orient; TravelogueD17 Afrika Asien,,"Asiatische und Africanische Denkwürdigkeiten dieser Zeit/; Das ist/ Beschreibung der Königreiche/ Herrschaften und Länder Deß Grossen Mogols/ Deß Grossen Neguz, oder so genannten Priester Johannis, deß Königreichs von Argier, und der Länder Barbariæ und Mauritaniæ, Neben dem Africanischen Judenthum. Worinnen nicht nur die jetzige Beschaffenheit der Länder/ nach ihrer Gelegenheit/ Flüssen/ Gebürgen/ Land= und Städtbau/ Fruchtbarkeit/ und was ober und unter der Erden schätzbar zu finden: Sondern es wird auch eigentlich berichtet/ wie die Regierung jedes Orts im Geist= und Weltlichen Stande angeordnet; Was in Staats=Sachen allenthalben zu beobachten; Wie in Kriegs= und Friedens=Zeiten nach Erforderung die Anstalt gemacht werden; Absonderlich wie sie ihre Gräntzen/ vor dem Einfall ihrer Benachbarten/ versichern/ und in was Stand die Commercien aller Orten zu befinden. Neben Anfügung allerhand Glück= und Unglücks=Fälle/ auch merckwürdiger Begebenheiten zu Wasser und Land/ welche zu lesen sehr annehmlich vorkommen werden"
6,Z260071609,http://data.onb.ac.at/ABO/+Z260071609,AC14493773,1681,TravelogueD17 Europa Asien; TravelogueD17 Orient,"Voyage d'Italie, de Dalmatie, de Grèce et du Levant; 1678","Jtaliänische/ Dalmatische/ Griechische und Orientalische Reise=Beschreibung; Worinn Allerhand merkwürdige/ vormals in Europa unbekannte/ Antiquitäten/ enthalten/ Welche Jacob Spon und Georgius Wheler, Englischer von Adel/ Als sie obbenannte Lande/ im Jahre 1675 und 1676 durchreiset/ fleissig zusammen getragen/ und der Welt/ zu nützlicher Nachricht/ in den Druck befördert; Anjetzo aber aus dem Französischen ins Teutsche übersetzt durch F. Menudier/ deß Hochfürstl. Bayreuth. Collegii Christian-Ernestini Prof. Publ."
7,Z168353904,http://data.onb.ac.at/ABO/+Z168353904,AC09974251,1605,TravelogueD17 Asien,"Journael ofte dagh-register, inhoudende een waerachtigh verhael vande reyse ghedaen 1598; 1601",Ander Schiffart Jn die Orientalische Jndien/ So die Holländische Schiff welche im Martio 1598. außgefahren/ dauon die 2 letzste Mayo 1600. mit grossem Schatz von Würtz wider kommen seynd) verrichtet; Darin kürzlich/ doch warhafftiglich/ der ganzte Succes der Reyse erzehlet wirdt; Mit etlichen nöthigen erklärung/ Carten vnd Figuren gezieret. Durch Levinum Hulsium
8,Z159579100,http://data.onb.ac.at/ABO/+Z159579100,AC07938330,1682,TravelogueD17 Asien; TravelogueD17 Orient,Aigentliche Beschreibung der Raiss inn die Morgenländer; (DE-588)4816378-8,"<<Leonis Flaminii>> Itinerarium Per Palæstinam; Das ist/ Eine mit vielen schönen Curiositæten angefüllte Reiß=Beschreibung; mit Fleiß und wohl bedacht außgefertiget von obig=erwehnten Leone Flaminio, Rerum Exoticarum Admiratore & Cultore"
9,Z168351208,http://data.onb.ac.at/ABO/+Z168351208,AC13775934,1615,TravelogueD17 Asien,"Journael ofte dagh-register, inhoudende een waerachtigh verhael vande reyse ghedaen 1598; 1601",Ander Schiffahrt Jn die Orientalische Jndien/; So die Holländische Schieff (welche im Martio 1598. außgefahren/ davon die 2. letzte im Mayo 1600 mit grossem Schatz von Würtz wider kommen seynd) verrichtet. Darin[n] kürtzlich/ doch wahrhafftiglich/ der gantze Success der Reyse erzehlet wird; Mit etlichen nöthigen Erklärung/ Carten vnd Figuren geziert/ durch Levinvm Hvlsivm
