a,b,num_pairs,normalized,url_a,url_b
Z180059703,Z162737708,19140,6.232497557798762,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z162737708
Z180059703,Z164724109,17160,6.666666666666667,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z164724109
Z180059703,Z156319401,16830,6.954545454545454,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z156319401
Z180059703,Z15248840X,12210,5.4411764705882355,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z15248840X
Z180059703,Z158022808,11550,5.0,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z158022808
Z180059703,Z15959440X,8580,3.9981360671015844,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z15959440X
Z180059703,Z164171807,7920,3.4182132067328443,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z164171807
Z162737708,Z164724109,6032,2.9965226030799803,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z164724109
Z159948701,Z180059703,5940,2.75,http://data.onb.ac.at/ABO/+Z159948701,http://data.onb.ac.at/ABO/+Z180059703
Z180059703,Z158515308,5940,2.4048582995951415,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z158515308
Z180059703,Z202951005,5940,2.4464579901153214,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z202951005
Z162737708,Z156319401,5916,3.1823561054330285,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z156319401
Z180059703,Z257382001,5610,2.4391304347826086,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z257382001
Z180059703,Z162737605,5610,2.366090257275411,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z162737605
Z180059703,Z162737502,5610,2.3229813664596275,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z162737502
Z156319401,Z164724109,5304,3.894273127753304,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z164724109
Z180059703,Z156398106,5280,2.258340461933276,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z156398106
Z180059703,Z163301100,4950,2.603892688058916,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z163301100
Z180059703,Z202942703,4950,1.776103336921421,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z202942703
Z180059703,Z159579203,4950,2.4444444444444446,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z159579203
Z180059703,Z178376102,4620,1.8531889290012034,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z178376102
Z162737708,Z15248840X,4292,2.5502079619726676,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z15248840X
Z180059703,Z185144502,4290,2.0734654422426293,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185144502
Z180059703,Z185157302,4290,1.8865435356200528,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185157302
Z180059703,Z164617007,4290,1.83883411915988,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z164617007
Z162737708,Z158022808,4060,2.3213264722698685,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z158022808
Z180059703,Z165271500,3960,1.7498895271763146,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z165271500
Z164724109,Z15248840X,3848,3.2445193929173692,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z15248840X
Z156319401,Z15248840X,3774,3.6569767441860463,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z15248840X
Z158022808,Z164724109,3640,2.9073482428115014,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z164724109
Z180059703,Z159573705,3630,1.7451923076923077,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z159573705
Z180059703,Z185144009,3630,1.8023833167825223,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185144009
Z180059703,Z16835460X,3630,1.7527764365041043,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z16835460X
Z156319401,Z158022808,3570,3.251366120218579,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z158022808
Z162737708,Z15959440X,3016,1.9028391167192429,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z15959440X
Z180059703,Z168354507,2970,1.560693641618497,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168354507
Z180059703,Z185144101,2970,1.542857142857143,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185144101
Z180059703,Z168351701,2970,1.4340898116851764,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168351701
Z180059703,Z185157405,2970,1.5656299420137059,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185157405
Z162737708,Z164171807,2784,1.5854214123006833,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z164171807
Z164724109,Z15959440X,2704,2.485294117647059,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z15959440X
Z156319401,Z15959440X,2652,2.8394004282655247,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z15959440X
Z168351403,Z180059703,2640,1.3601236476043277,http://data.onb.ac.at/ABO/+Z168351403,http://data.onb.ac.at/ABO/+Z180059703
Z180059703,Z155901003,2640,0.9131788308543757,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z155901003
Z180059703,Z159579100,2640,1.2704523580365736,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z159579100
Z180059703,Z203393302,2640,0.9503239740820735,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z203393302
Z180059703,Z205028809,2640,1.18491921005386,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z205028809
Z180059703,Z200807900,2640,1.13013698630137,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z200807900
Z180059703,Z181287203,2640,0.9263157894736842,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z181287203
Z158022808,Z15248840X,2590,2.809110629067245,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z15248840X
Z164724109,Z164171807,2496,1.982525814138205,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z164171807
Z156319401,Z164171807,2448,2.2153846153846155,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z164171807
Z166828101,Z180059703,2310,1.0694444444444444,http://data.onb.ac.at/ABO/+Z166828101,http://data.onb.ac.at/ABO/+Z180059703
Z180059703,Z205002705,2310,1.1020992366412214,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z205002705
Z180059703,Z168351300,2310,1.1894953656024716,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168351300
Z180059703,Z168354003,2310,1.1767702496179318,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168354003
Z180059703,Z166652709,2310,0.8847184986595175,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z166652709
Z180059703,Z105516004,2310,1.076421248835042,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z105516004
Z180059703,Z158486503,2310,1.0615808823529411,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z158486503
Z180059703,Z159215904,2310,1.0344827586206897,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z159215904
Z159948701,Z162737708,2088,1.3058161350844277,http://data.onb.ac.at/ABO/+Z159948701,http://data.onb.ac.at/ABO/+Z162737708
Z162737708,Z158515308,2088,1.0937663698271347,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z158515308
Z162737708,Z202951005,2088,1.118371719335833,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z202951005
Z180059703,Z27280208,1980,0.8208955223880597,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z27280208
Z180059703,Z103507504,1980,0.8971454463072044,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z103507504
Z180059703,Z180055801,1980,0.9070087036188731,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z180055801
Z180059703,Z257368909,1980,1.0237849017580145,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z257368909
Z180059703,Z168352808,1980,1.0307131702238417,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168352808
Z180059703,Z201274103,1980,0.99,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z201274103
