cluster,barcode,abo_url
0,Z97793303,http://data.onb.ac.at/ABO/+Z97793303
1,Z9779440X,http://data.onb.ac.at/ABO/+Z9779440X
1,Z15517970X,http://data.onb.ac.at/ABO/+Z15517970X
2,Z148208904,http://data.onb.ac.at/ABO/+Z148208904
2,Z180696004,http://data.onb.ac.at/ABO/+Z180696004
3,Z124976809,http://data.onb.ac.at/ABO/+Z124976809
3,Z157772504,http://data.onb.ac.at/ABO/+Z157772504
4,Z203131903,http://data.onb.ac.at/ABO/+Z203131903
4,Z176509603,http://data.onb.ac.at/ABO/+Z176509603
4,Z204829604,http://data.onb.ac.at/ABO/+Z204829604
5,Z165144605,http://data.onb.ac.at/ABO/+Z165144605
5,Z168991404,http://data.onb.ac.at/ABO/+Z168991404
5,Z124970509,http://data.onb.ac.at/ABO/+Z124970509
6,Z168278207,http://data.onb.ac.at/ABO/+Z168278207
6,Z202485109,http://data.onb.ac.at/ABO/+Z202485109
6,Z202485201,http://data.onb.ac.at/ABO/+Z202485201
7,Z198359505,http://data.onb.ac.at/ABO/+Z198359505
7,Z164420509,http://data.onb.ac.at/ABO/+Z164420509
7,Z98088202,http://data.onb.ac.at/ABO/+Z98088202
8,Z114801803,http://data.onb.ac.at/ABO/+Z114801803
8,Z16639230X,http://data.onb.ac.at/ABO/+Z16639230X
8,Z171040404,http://data.onb.ac.at/ABO/+Z171040404
9,Z155625607,http://data.onb.ac.at/ABO/+Z155625607
9,Z15562570X,http://data.onb.ac.at/ABO/+Z15562570X
9,Z156323507,http://data.onb.ac.at/ABO/+Z156323507
10,Z223946108,http://data.onb.ac.at/ABO/+Z223946108
10,Z97797709,http://data.onb.ac.at/ABO/+Z97797709
10,Z97793406,http://data.onb.ac.at/ABO/+Z97793406
11,Z155915506,http://data.onb.ac.at/ABO/+Z155915506
11,Z116264904,http://data.onb.ac.at/ABO/+Z116264904
11,Z165143704,http://data.onb.ac.at/ABO/+Z165143704
12,Z160515903,http://data.onb.ac.at/ABO/+Z160515903
12,Z172681806,http://data.onb.ac.at/ABO/+Z172681806
12,Z16005920X,http://data.onb.ac.at/ABO/+Z16005920X
13,Z183993708,http://data.onb.ac.at/ABO/+Z183993708
13,Z183863400,http://data.onb.ac.at/ABO/+Z183863400
13,Z176593808,http://data.onb.ac.at/ABO/+Z176593808
14,Z198357004,http://data.onb.ac.at/ABO/+Z198357004
14,Z222104709,http://data.onb.ac.at/ABO/+Z222104709
14,Z207677700,http://data.onb.ac.at/ABO/+Z207677700
15,Z173692101,http://data.onb.ac.at/ABO/+Z173692101
