Spalte1,Systemnummer,MMS-ID,Volltext,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Druckort normiert ; GND-ID,Verlagsort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr normiert,Kollation,Illustrationen,Format,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Spalte2,Inhalt,Enthaltenen Werke,Schlagworte,Marker,Signatur,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Kollation2,4,Barcode,Spalte3,Spalte4,Spalte5
105,AC07530148,990016083070603338,http://data.onb.ac.at/ABO/%2BZ103507504,"Amati, Scipione; (DE-588)129569631",Historia del regno del Voxu del Giapone,,"Relation Unnd gründtlicher Bericht von deß Königreichs Voxu in Japonischen Keyserthumb Gottseliger Bekehrung/ vnnd dessentwegen außgefertigter Ambasciada an Päbst: Heil: gen Rom Paulum den Fünfften, vnd an die Cathol: May: Philip den Dritten König in Hispania/ etc. Anno M.DC.XV.; Durch R.P.F. Ludouicum Sotelum S. Francisci Ordens der Discaltzen/ oder Parfüsser: Vnd den beygeordneten Durchleuchtigen/ vnd Hochgebornen Don: Rocuyemon Faxecura deß Königlichen Geblüts/ einen hochedlen Ritter; Anfangs in Jtalienischer Sprach verfasset/ von dem Edlen vnd Hochgelehrten Scipione Amato Romano V.I.D. Als Interprete vnd Reyßgeferten dieser Ambasciada. An jetzo aber zu Teutsch verwendet durch R.P.F. Thobiam Hendschelium D. Obbesagtes Franciscaner Ordens der Strengen Observantz/ vnd dessen Convents S. Hieronimi zu Wienn in Oesterreich/ Archigymnasij sacræ Moralis Theologiæ Professorem",,,Gedruckt zu Jngolstadt,Ingolstadt; (DE-588)4026991-7,Ingolstadt; (DE-588)4026991-7,in der Ederischen Truckerey/ bey Elisabeth Angermayerin Wittibin,Officina Typographica Ederiana; (DE-588)1044522364,"Angermaier, Elisabeth; (DE-588)118503170",1617,1617,"24 ungezählte Seiten, 359 Seiten, 2 ungezählte Blätter Bildtafeln",2 Illustrationen,4°,ger,ita,Aus dem Italienischen übersetzt,VD17 547:657774F,"Sotelo, Luis;Fricius, Valentin;Valadés, Diego; (DE-588)124997635;(DE-588)129569720;(DE-588)119395592",,"Hendschele, Tobias; (DE-588)129569550",,,,"Hendschele, Tobias; (DE-588)129569550",,,,"Indianischer Religionstandt der gantzen newen Welt, beyder Indien gegen Auff- vnnd Nidergang der Sonnen","Fricius, Valentin; Indianischer Religionstandt der gantzen newen Welt, beyder Indien gegen Auff- vnnd Nidergang der Sonnen",Japan; Mission; Geschichte 1611-1615 circa; Topografie; Japan,TravelogueD17 Asien,80.C.23 PRUNK,"Die Illustrationen umfassen 1 Kupferstich-Porträt und 1 Kupferstich-Illustration. - Titelblatt in Rot-Schwarz-Druck mit Bordürenrahmen; Vignetten, Initialen, Zierleisten im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 547:657774F ," Porträt: Don Filippo Francesco Faxicvra Imbasciatore del Relde Voxv nel Giappone alla S.ra di N. S. Paolo PP. V. arriuato in Roma adi 21 [?] di 8bre 1615 [Datum: 21.07.1615]. - Ungezählte Seite 3-7: Widmungsvorrede des Übersetzer Tobias Hendschel an Erzherzogin Anna von Österreich, Datum 1616. - Seite 1-16: Vorrede an Papst Paulus V., Datum 03.11.1615. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Anno M. DC. XVII. Mit Röm: Kays: Meyest: Freyheit. Gedruckt zu Jngolstadt in der Ederischen Truckerey/bey Elisabeth Angermayerin Wittibin. "," Signaturformel: (?)4, (??)4, (???)4, A-Z4, a-y4. - Fehler in der Paginierung: S. 56 als 6, 316 als 361 paginiert",,Z103507504,,,
106,AC05928802,990016083480603338,http://data.onb.ac.at/ABO/%2BZ103507401,"Amati, Scipione; (DE-588)129569631",Historia del regno del Voxu del Giapone,,"Relation Vnd gründtlicher Bericht von deß Königreichs Voxu im Japonischen Keyserthumb Gottseliger Bekehrung/ vnd dessentwegen außgefertigter Ambasciada an Päbst: Heil: gen Rom Paulum den fünfften/ vnd an die Cathol: May: Philip: den dritten König in Hispania/ &c. Anno 1615.; Durch R.P.F. Lvdovicum Sotelvm S. Francisci Ordens der Discaltzen/ oder Parfüsser: Vnd den beygeordneten Durchleuchtigen/ vnd Hochgebornene Don: Rocuyemon Faxecura deß königlichen Geblüts/ einem hochedlen Ritter; Anfangs in Jtalienischer Sprach verfasset, von/ dem edlen und hochgelehrten Scipione Amato Romano V.I.D. als Interprete vnd Reißgefehrten diser Ambasciada. An jetzo aber zu Teutsch verwendet durch R.P.F. Thobiam Hendschelivm D. obbesagtes Francisc. Ordens der Strengern Obseruantz/ vnd dessen Conuents S. Hieron. zu Wien in Oesterreich Gymnasij sacræ Moralis Theologiæ Professorem",,,Getruckt zu Jngolstatt,Ingolstadt; (DE-588)4026991-7,Ingolstadt; (DE-588)4026991-7,in der Ederischen Truckerey/ bey Elisabeth Angermayrin Wittib,"Angermaier, Elisabeth; (DE-588)118503170","Angermaier, Elisabeth; (DE-588)118503170",1617,1617,"6 ungezählte Seiten, 292 Seiten, 1 ungezähltes Blatt Bildtafel",2 Illustrationen,4°,ger,ita,Aus dem Italienischen übersetzt,VD17 12:116336V,"Sotelo, Luis;Fricius, Valentin;Valadés, Diego; (DE-588)124997635;(DE-588)129569720;(DE-588)119395592",,"Hendschele, Tobias; (DE-588)129569550",,,,"Hendschele, Tobias; (DE-588)129569550",,,,"Indianischer Religionstandt der gantzen newen Welt, beyder Indien gegen Auff- vnd Nidergang der Sonnen","Fricius, Valentin; Indianischer Religionstandt der gantzen newen Welt, beyder Indien gegen Auff- und Nidergang der Sonnen",Japan; Mission; Geschichte 1611-1615 circa; Topografie; Japan,TravelogueD17 Asien,429838-B MAG,"Die Illustrationen umfassen 1 Kupferstich-Porträt im Holzschnittrahmen, 1 Kupfertitel. - Holzschnitt-Vignetten, Zierleisten und Initialen im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis. VD17 12:116336V ," Mit zusätzlichem Kupfertitel: Relation Von der Frewdenreichen Bekehrung deß Königreichs Voxu in Japon. - Ungezählte Seite 2-5: Widmungsvorrede von Tobias Hendschel an Anna, Erzherzogin von Österreich, Datum Wien 1616. - Seite 1-11: Widmungsvorrede an Papst Paulus V., Datum Rom 03.11.1615. - Porträt: Don Filippo Francesco Faxicvra Imbasciatore del Relde Voxv nel Giappone alla S.ra di N. S. Paolo PP. V. arriuato in Roma adi 21 [?] di 8bre 1615 [Datum: 21.07.1615].  - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Römisch. Keys. Mayest. Freyheit. Getruckt zu Jngolstatt in der Ederischen Truckerey/ bey Elisabeth Abermayrin/ Wittib. Anno M. DC. XVII. "," Signaturformel: [1], (?)2, A-Z4, a-n4, o2. - Fehler in der Paginierung: S. 178 als 168, 220 als 120, 222-223 als 272-273, 284 als 224 paginiert",,Z103507401,,,
109,AC09654886,990028064970603338,http://data.onb.ac.at/ABO/%2BZ177010100,"Ammann, Hans Jacob; (DE-588)120156792",Reiß In das Gelobte Land; 1618,,Reiß Jn das Gelobte Land: Von Wien auß Oesterreich/ durch Vngariam/ Serviam/ Bulgariam vnd Thraciam auff Constantinopel:; Ferner Durch Natoliam/ Cappadociam/ Ciliciam/ Syriam vnd Judæam/ auff Jerusalem: Von dannen Durch die Wüste vnd Aegypten gehn Alexandriam/ folgends vber dz Mitlendische Meer in Siciliam/ vnd durch Jtaliam auff Zürich in die Eydgnoschafft: Jn dreyen Theylen/ sampt deren Landen vnd Stetten gelegenheiten/ Einwohneren/ Policeyen/ Sitten vnd Gebreuchen: auch anderen vorgefallnen denckwürdigen sachen/; kurtz/ doch eigentlich beschriben Durch Johann Jacob Amman/ Burger vnd bestellten Wundartzt zu Zürich,,,Getruckt zu Zürich,Zürich; (DE-588)4068038-1,Zürich; (DE-588)4068038-1,bey Johan[n] Hardmeyer;Jn Verlegung deß Authoris,"Ammann, Hans Jacob; (DE-588)120156792","Hardmeyer, Johann; (DE-588)1037523652",1618,1618,"16 ungezählte Seiten, 228 Seiten",,8°,ger,,,VD17 23:278575E,,,,,,,,Zürich; (DE-588)16247579-2,Reisebericht,,,,Reise; Ungarn; Südosteuropa; Konstantinopel; Anatolien; Naher Osten; Ägypten; Geschichte 1612-1613; Palästina; Mittelmeer; Osmanisches Reich,TravelogueD17 Europa Asien Afrika; TravelogueD17 Orient,MF 2806 MIK,Kein illustrierender Inhalt. - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Initialen im Text ; Gedruckte Marginalien ," Bibliografischer Nachweis: VD17 23:278575E ; Bibliografie Reiseliteratur Eutin ; Tobler, Bibliographia Geographica Palestinae, S. 93f. Treue (2014), S. 336 "," Blatt (?)2a-(?)4b: Widmungsvorrede des Verfassers an den Rat der Stadt Zürich, Datum 01.10.1618. - Vorlageform der Veröffentlichungsangabe am Ende: Getruckt zu Zürich/ bey Johan[n] Hardmeyer/ Jn Verlegung deß Authoris/ 1618. "," Signaturformel: (?)8, A-O8, P2",,Z177010100,,,
110,AC09656610,990028082680603338,http://data.onb.ac.at/ABO/%2BZ159574205,"Andersen, Jürgen; (DE-588)124816010",Orientalische Reise-Beschreibunge; 1669,,"Orientalische Reise=Beschreibunge Jürgen Andersen aus Schleßwig der An. Christi 1644. außgezogen und 1650. wieder kommen; Und Volquard Jversen aus Holstein so An. 1655. außgezogen und 1668. wieder angelanget. Seynd beyde respective durch OstJndien/ Sina/ Tartarien/ Persien/ Türckeyen/ Arabien und Palestinam gezogen: und haben zu Wasser und Land viel merckliche Dinge gesehen und erfahren; Aus deren Bericht mit lust und auch verwunderung zu vernehmen die Beschaffenheit und heutiger Zustand der Jnsulen/ festen Länder/ Städte/ der Einwohner Leben/ Sitten und Lehre. Wie auch Von ihren erlittenen erbärmlichen Schiffbrüchen $c Heraus gegeben durch Adam Olearium, der regierenden Fürstl. Durchl. zu Schleßwig/ Holstein Bibliothecarium und Antiquarium. Mit dessen Notis, und etlicher Orter Erklärungen: Sampt vielen Kupfferstücken",,,Schleßwig,Schleswig; (DE-588)4052689-6,Schleswig; (DE-588)4052689-6,Jn der Fürstl. Druckerey gedruckt durch Johan Holwein/ Fürstl. bestalten Buchdrucker und Formschneider,"Holwein, Johann; (DE-588)139925805","Holwein, Johann; (DE-588)139925805",1669,1669,"12 ungezählte Seiten, 223 Seiten, 13 ungezählte Seiten, 2 ungezählte Blätter Bildtafeln, 1 Doppelblatt Karte","21 Illustrationen, 2 Karten, 1 Schriftbeispiel",2°,ger,,,VD17 3:602350C,"Iversen, Volquard; (DE-588)126791627","Olearius, Adam; (DE-588)118736256",,,,"Rothgieser, Andreas","Olearius, Adam; (DE-588)118736256","Babel, Christoph von",Reisebericht,,,,"Naher Osten; Arabien; Geschichte 1644-1650; Reise; Indien; Iran; China; Japan; Palästina; Andersen, Jürgen; Reise; Iversen, Volquard; Ostindien; Mauritius; Geschichte 1655-1668; Osmanisches Reich",TravelogueD17 Orient; TravelogueD17 Afrika Asien,48.D.20 PRUNK,"Die Illustrationen sind 1 illustrierender Kupfertitel (signiert von Andreas Rothgiesser), 1 Kupferstich-Wappen, 2 Kupferstich-Karten und 19 Kupferstich-Illustrationen (signiert von A. Rothgiesser), 1 Schriftbeispiel. - Holzschnitt-Vignetten und Initialen im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 3:602350C , Blatt )(2a-a1b: Widmungsvorrede an Christoff von Babel von Adam Olearius ," Signaturformel: )(3, a4, A-Z4, Aa-Gg4",,Z159574205,,,
73,AC15336575,9958546865003338,,"Aulnoy, Marie Catherine Le Jumel de Barneville <<d'>>; (DE-588)118808788",Relation du voyage d'Espagne,,<<Der Gräfin D'Aunoy>> Beschreibung ihrer Reise nach Spanien,anderer [das heißt 2.] Theil; mit Figuren,,Leipzig,Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,bey J. Thomas Fritsch,"Fritsch, Thomas; (DE-588)11682543X","Fritsch, Thomas; (DE-588)11682543X",1696,1696,"4 ungezählte Seiten, 476 Seiten, 8 ungezählte Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Bildtafel",9 Illustrationen,12°,ger,fre,Aus dem Französischen übersetzt,VD17 23:623741M,,,,,,"Bernigeroth, Martin; (DE-588)122027248",,,Reisebericht,,,,Reise;Geschichte 1679-1680;Spanien;Belletristische Darstellung;,TravelogueD17 Europa,*44.Y.241.(Vol.2) PRUNK,"Die Illustrationen sind 9 Kupferstich-Porträts (teilw. signiert von M. Bernigeroth). - Titelblatt in Rot- und Schwarzdruck mit Holzschnitt-Vignette (Verlegermarke) ; Holzschnitt-Vignetten, Zierleisten und Initialen im Text ", Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; VD17 23:623741M , Ungezählte Seite 3-4: Bericht des Verlegers J. Thomas Fritsch an den Leser ," Signaturformel: [2], A-T12, U10",,,,,
74,AC15336562,9958546865203338,http://data.onb.ac.at/ABO/%2BZ181287203,"Aulnoy, Marie Catherine Le Jumel de Barneville <<d'>>; (DE-588)118808788",Relation du voyage d'Espagne,,<<Der Gräfin D'Aunoy>> Beschreibung ihrer Reise nach Spanien,1. Theil; mit Figuren,,Leipzig,Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,bey J. Thomas Fritsch,"Fritsch, Thomas; (DE-588)11682543X","Fritsch, Thomas; (DE-588)11682543X",1696,1696,"6 ungezählte Seiten, 533 Seiten, 1, 6 ungezählte Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Bildtafel",8 Illustrationen,12°,ger,fre,Aus dem Französischen übersetzt,VD17 23:311273A,,,,,,"Schoonebeek, Adriaan; (DE-588)100264743",,,Reisebericht,,,,Reise;Geschichte 1679-1680;Spanien;Belletristische Darstellung;,TravelogueD17 Europa,*44.Y.241.(Vol.1) PRUNK,Die Illustrationen sind 1 Kupferstich-Porträt als Frontispiz und 7 Kupferstich-Illustrationen. - Titelblatt in Rot- und Schwarzdruck mit Verlegervignette ; Holzschnitt-Zierleisten und Initialen im Text , Bibliografischer Nachweis: VD17 23:311273A ; Bibliografie Reiseliteratur Eutin. - Kupferstecher ermittelt nach VD17 , Blatt ):(2a-):(3b: Vorbericht der Verfasserin an den Leser ," Signaturformel: ):(3, A-Y12, Z4 ; Z4 ist ein unbedrucktes Blatt",,Z181287203,,,
111,AC09676508,990028286810603338,http://data.onb.ac.at/ABO/%2BZ178376102;http://data.onb.ac.at/ABO/%2BZ162416308,"Baldaeus, Philippus; (DE-588)121830675",Naauwkeurige Beschryvinge van Malabar en Choromandel; 1672,,"Wahrhaftige Ausführliche Beschreibung Der Berühmten Ost=Jndischen Kusten Malabar Und Coromandel, Als auch der Jnsel Zeylon:; Samt dero angräntzenden und untergehörigen Reichen/ Fürstenthümen/ Ländern/ Städten/ vornehmsten Hafen/ Gebäuden/ Pagoden/ Gewächsen/ Thieren; der Einwohner Gestalt/ Sitten/ Kleidertracht/ Haushaltung/ Ceremonien: So wol auch der merkwürdigsten Kriegshändel/ Verlägerungen/ Feld= und Seeschlachten/ sonderlich zwischen den Portugesen und Holländern/ Handel= und Kaufmannschaften: Durchgehends verzieret mit neuen Landkahrten und Abbildungen der vornehmsten Städte/ Festungen/ Trachten/ Thiere/ Früchte/ etc. so in India selbst nach dem Leben gezeichnet/ und folgends mit Fleiß zu Kupfer gebracht: Benebst einer Umständlichen und Gründlichen Entdeckung der Abgötterey der Ost-Jndianischen Heyden, Malabaren, Benjanen, Gentiven, Bramines &c. So wol aus ihrem eigenen mit anhero gebrachten Vedam oder Gesetzbuch/ und urkündlichen Handgeschriften/ als Gespräch und Beywohnung ihrer vornehmsten Priester und Schriftgelehrten/ nachgespüret/ erforschet/ und widerleget: zusamt den Abbildungen ihrer Götzen nach dero eigenen Bildern gezeichnet und fürgestellet; Alles getreulich verfasset und ans Liecht gebracht Durch Philippum Baldæum, weiland Diener des Göttl. Worts auf Zeylon. Anitzo aber aus dem Niederländischen ins Hochteutsche mit Fleiß übergesetzt/ und mit einem vollständigen Register versehen",,,Amsterdam,Amsterdam; (DE-588)4001783-7,Amsterdam; (DE-588)4001783-7,Bey Johannes Janssonius von Waesberge Und von Someren;Gedruckt bey Jacob von Velsen,"Waesberghe, Joannes Janssonius <<van>>;;Someren, Joannes <<van>>; (DE-588)120606372;;(DE-588)1037511786","Velsen, Jacob <<van>>; (DE-588)1037525655",1672,1672,"2 ungezählte Seiten, 610 Seiten, 26 ungezählte Seiten, 2 ungezählte Seiten Bildtafeln, 34 ungezählte gefaltete Doppelblätter","74 Illustrationen, 8 Karten, 2 Schriftbeispiele",2°,ger,dut,Aus dem Niederländischen übersetzt,VD17 39:135493U,,,,,,"Blooteling, Abraham; (DE-588)129685844; Sydervelt, I.",,,,,,,Indien; Küste; Landeskunde; Indien; Landeskunde; Ceylon; Mission; Indien; Geschichte 1655/1656-1665/1666,TravelogueD17 Asien,47.Ee.8 PRUNK,"Die Illustrationen umfassen 1 illustrierenden Kupfertitel, 2 Kupferstich-Porträts, 64 Kupferstichillustrationen, 8 Kupferstich-Karten und 7 Kupferstich-Pläne, 2 Schriftbeispiele. - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Vignetten und Initialen ; Text zweispaltig gedruckt ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 ; Bibliografie Reiseliteratur Eutin ," Blatt *3r-*4vr: Vorrrede an den Leser. - Blatt *1r-***4v: Register der vornehmsten Sachen. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Amsterdam, Bey Johannes { Janssonius von Waesberge Und von Someren. Anno 1672. ; Vorlageform der Veröffentlichungsangabe (Drucker) am Ende: Amsterdam/ Gedruckt bey Jacob von Velsen/ wohnhaft in der Utrechtschen Gasse am Reguliers Markt. MDCLXXII.",,,Z178376102;Z162416308,,,
112,AC09692458,990028449860603338,http://data.onb.ac.at/ABO/%2BZ159579203,"Behr, Johann <<von der>>; (DE-588)129178004",,,"Diarium Oder Tage=Buch/ über Dasjenige/ So sich Zeit einer neun=jährigen Reise zu Wasser und Lande/ meistentheils in Dienst der vereinigten geoctroyrten Niederländischen Ost=Jndianischen Compagnie, besonders in denselbigen Ländern täglich begeben und zugetragen; Worbey der Jnnwohner Glauben/ Leben/ Sitten und Kleidung/ so mit Augen gesehen/ fleißig aufgeschrieben/ abgerissen und mit Kupffern gezieret/ zur besseren Nachricht verzeichnet worden; von Johann von der Behr/ Not. Publ. Caes.",,,Jena,Jena; (DE-588)4028557-1,Jena; Breslau; (DE-588)4028557-1; (DE-588)4008216-7,Jn Verlegung Urbani Spaltholtzens/ Buchhändlers in Breßlau,"Spaltholz, Urban; (DE-588)1037521420","Spaltholz, Urban; (DE-588)1037521420",1668,1668,"12 ungezählte Seiten, 150 Seiten, 20 ungezählte Seiten, 2, 14 ungezählte Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Bildtafel",16 Illustrationen,4°,ger,,,VD17 3:307812K,,,,"Ziegener, Friedrich;Franckenstein, Christian Friedrich; (DE-588)100343848",,,,,Reisebericht,,,,Reise; Geschichte 1641-1649; Ostindien; Ceylon; Iran; Schiffsreise; Orient,TravelogueD17 Orient; TravelogueD17 Asien,48.E.29 PRUNK,"Die Illustrationen umfassen 1 Kupferstich-Porträt des Verfassers, 1 illustrierenden Kupfertitel als Frontispiz, 14 Bildtafeln mit Kupferstich-Illustrationen. - Holzschnitt-Initialen und Holzschnitt-Vignetten im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 3:307812K , Blatt (a3a)-(a4b): Vorrede an den Leser. - Gedicht von Christian Friedrich Franckenstein in lateinischer Sprache. - Lobgedicht von Friedrich Ziegener an den Verfasser in deutscher Sprache. - Vorlageform der Veröffentlichungsangabe au fdem Titelblatt: Jena/ Jn Verlegung Urbani Spaltholzens/ Buchhändlers in Breßlau/ Anno 1668. - Auf Kupfertitel Jahreszahl 1669 ," Signaturformel: (a)-(b)4, A-U4",,Z159579203,,,
113,AC09695833,990028484270603338,http://data.onb.ac.at/ABO/%2BZ164594706,"Benaglia, Giovanni; (DE-588)12584395X","Relatione del viaggio fatto à Constantinopoli, e ritorno in Germania, del Conte Alberto Caprara; 1684",,"Außführliche Reisz=Beschreibung/ Von Wien nach Constantinopel/ und wieder zurück in Teutschland/; auch was sich Merckwürdiges dabey zugetragen:  Deß Hoch=Gebohrnen Grafen und Herrn/ Herrn Albrecht Caprara/ etc. etc. Welche Er als Jhro Römisch=Keyserl. Maj. Extraordinari-Gesandter und Gevollmächtigter/ Den Stillstand mit der Ottomannis. Pforten zu verlängern/ verrichtet.; Beschrieben von Iohanne Benaglia, Gesandtschaffts=Secretario. Anjetzo auf vielfältiges Begehren/ auß dem Jtalianischen/ getreulich in die Hoch=Teutsche Sprache übersetzt",,,Franckfurt,,Frankfurt am Main; (DE-588)4018118-2,zu finden bey Matth. Wagnern,"Wagner, Matthäus; (DE-588)138015031",,1687,1687,"174 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,8°,ger,ita,Aus dem Italienischen übersetzt,VD17 1:743767D,,,,,,,,,Reisebericht,,,,Istanbul; Reise; Geschichte 1681-1683; Südosteuropa; Osmanisches Reich; Orient,TravelogueD17 Asien Europa; TravelogueD17 Orient,MF 6736 MIK,Die Illustration ist eine Kupferstich-Illustration als Frontispiz. - Titelblatt in Rot- und Schwarzdruck ; Initialen im Text , Nicht ident mit VD17 16:738588G (dort Titelblatt in Schwarzdruck). - Nicht ident. mit VD17 14:079891D und 23:233670N (dort fehlerhafte Paginierung) ,, Signaturformel: A-L8,,Z164594706,,,
46,AC09623298,990028505720603338,http://data.onb.ac.at/ABO/%2BZ163301409,"Benzoni, Girolamo; (DE-588)123588855",<<La>> historia del Mondo Nuovo; (DE-588)4675237-7,[America]; 6,Das sechste Theil Americæ oder Der Historien Hieron. Benzo von Meylandt/ Das dritte Buch : Darinnen erzehlet wirt/ wie die Spanier die Goldreiche Landschafften deß Peruanischen Königreichs eingenommen/ den König Atabalibam gefangen und getödet. Auch wie sie endlich sich selbst vntereinander auffgerieben haben. Sampt einem kurzen und angehengten Tractätlein von den glückhafftigen Jnseln. Mit nützlichen vnd nohtwendigen Erklärungen auff ein jedes Capitel gemehret. Auch einer Landtaffel deß Peruanischen Königreichs. Alles mit schönen Kupfferstichen vorgebildet vnd an Tag geben Durch Dieterich von Bry/ Kunststecher vnd Bürger zu Franckfurt,,,Oppenheim,Oppenheim; (DE-588)4043637-8,Oppenheim; Frankfurt am Main; (DE-588)4043637-8; (DE-588)4018118-2,in Vorlegung Johann Theodors de Bry;Gedruckt bey Hieronymo Gallern,"Bry, Johann Theodor <<de>>; (DE-588)11851640X","Galler, Hieronymus; (DE-588)136199127",1619,1619,"6 ungezählte Seiten, 121 Seiten, 2 ungezählte Seiten, XXVIII Blätter, 2 ungezählte gefaltete Blätter","30 Illustrationen, 1 Karte",2°,ger,ita,Aus dem Italienischen übersetzt von Nicolaus Höniger,VD17 23:267888T,,"Bry, Theodor <<de>>; (DE-588)118516418","Höniger, Nikolaus; (DE-588)1012273598",,,"Merian, Matthaeus; (DE-588)118581090","Bry, Theodor <<de>>; (DE-588)118516418",,Reisebericht,,,,Südamerika; Topografie; Peru; Geschichte 1542-1556,TravelogueD17 Südamerika,253767-D.6 MAG,"Die Illustrationen umfassen 1 illustrierendern Kupferstich-Rahmen auf dem Titelblatt, 1 gestochenes Wappen (Blatt A2a: Widmungsvorrede), 1 Kupferstich-Karte und 28 Kupferstich-Illustrationen. - Holzschnitt-Vignetten und Initialen im Text ; Gedruckte Marginalien "," Bibliografischer Nachweis: Groesen (2008), Nr. *214 ; VD17 23:267888T "," Blatt A2a-A3b: Widmungsvorrede des Verlegers Theodor de Bry an Moritz, Landgraf von Hessen, Datum Frankfurt am Main 01.03.1597. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt des enthaltenen Teiles: Oppenheim/ in Vorlegung Johann Theodors de Bry. Gedruckt bey Hieronymo Gallern. M DC XVIII. "," Signaturformel: A-O4, P6, A-F4, G6 ; Blatt G6 unbedruckt",,Z163301409,,,
