ko,MMS-ID,Volltext,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur
AC15428336,9958558844503338,http://data.onb.ac.at/ABO/%2BZ148208400,"Tott, François <<de>> ; (DE-588)117727776",Mémoires sur les Turcs et les Tartares; (DE-588)4809561-8,Bibliothek der neuesten Reisebeschreibungen; ...,<<Herrn Baron von Tott's>> Nachrichten von den Türken und Tataren; mit Herrn von Peyssonnel's Verbesserungen und Zusätzen. Aus dem Französischen,,,Frankfurt und Leipzig,Frankfurt am Main; (DE-588)4018118-2 .- Leipzig; (DE-588)4035206-7,,in der Christoph Weigel- und A. G. Schneiderischen Kunst- und Buchhandlung,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung; (DE-588)5311115-1,,1787-1788,1787,2 Bände,,,,8°,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 1142",,,,ger,fre,Aus dem Französischen übersetzt,,,,,"Peyssonnel, Charles <<de>>; (DE-588)124383645",,,,,Autobiografie; Reisebericht,,,Reise; Osmanisches Reich; Geschichte 1755-1763; Osmanisches Reich; Landeskunde; Geschichte 18. Jahrhundert; Reise; Krim; Geschichte 1768-1769; Orient,TravelogueD18 Europa Asien; TravelogueD18 Orient,,
AC15245689,9958558844603338,,"Tott, François <<de>> ; (DE-588)117727776",Mémoires sur les Turcs et les Tartares; (DE-588)4809561-8,Sammlung der besten Reisebeschreibungen; ...,<<Des Herrn Baron von Tott>> Nachrichten von den Türken und Tataren; mit H. v. Payssonnel's Verbesserungen und Zusätzen,,,Brünn,Brünn; (DE-588)4008456-5,Brünn; (DE-588)4008456-5,gedruckt bei Joseph Georg Traßler; und im Verlage Fr. Anton Schrämbls,"Schrämbl, Franz Anton; (DE-588)117025143","Traßler, Joseph Georg; (DE-588)129262358",1789,1789,,,,,,,,,,ger,fre,Aus dem Französischen übersetzt,,,"Peyssonnel, Charles <<de>>; (DE-588)124383645",,,,,,,Reisebericht; Autobiografie,,,Reise; Osmanisches Reich; Geschichte 1755-1763; Osmanisches Reich; Landeskunde; Geschichte 18. Jahrhundert; Reise; Krim; Geschichte 1768-1769; Orient,TravelogueD18 Europa Asien; TravelogueD18 Orient,,214905-A; UNASSIGNED
AC15245843,9958530070803338,"http://data.onb.ac.at/ABO/%2BZ220632504;
http://data.onb.ac.at/ABO/%2BZ9808550X;
http://data.onb.ac.at/ABO/%2BZ164417808;
http://data.onb.ac.at/ABO/%2BZ198356905","Drummond, Alexander ; (DE-588)1157507697","Travels through different cities of Germany, Italy, Greece, and several parts of Asia; 1754",Sammlung der besten Reisebeschreibungen; Zweiter Band,"<<Die>> Reisen Alexander Drummons, Esq. Engl. Consuls in Aleppo",,,Troppau,Troppau; (DE-588)4061019-6,Troppau; (DE-588)4061019-6,"gedruckt bei Joseph Georg Traßler, und im Verlage der Kompagnie","Traßler, Joseph Georg; (DE-588)129262358","Traßler, Joseph Georg; (DE-588)129262358",1784,1784,380 Seiten,,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0293 (Übersetzung). - Die Titel sind den Seiten 3, 107 und 177 entnommen",,,ger,eng,Aus dem Englischen übersetzt,,"Hanway, Jonas; (DE-588)118839462 .- Russell, Alexander; (DE-588)133337774",,,,,,,,Reisebericht,"Die Reisen des Herrn Hanway durch Rußland, Persien und andre Länder von Europa, zur Stiftung eines Handels am Caspischen Meere; Beschreibung der Stadt Aleppo, und der umliegenden Gegend","Hanway, Jonas: Historical account of the British trade over the Caspian Sea;  .- Russell, Alexander: <<The>> Natural history of Aleppo; ","Reise; Naher Osten; Geschichte 1743-1744; Drummond, Alexander; Reise; Anatolien; Zypern; Syrien; Geschichte 1745-1747; Osmanisches Reich; Orient",TravelogueD18 Europa Asien; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen von 3 Werken),214905-A.2; MAG .- 686778-B.2; MAG .- 251353-A.2; MAG .- 265006-A.2; MAG .- 214905-A; UNASSIGNED
AC08801708,990038280890603338,"http://data.onb.ac.at/ABO/%2BZ114801803;
http://data.onb.ac.at/ABO/%2BZ171040404","Francklin, William ; (DE-588)129528846","Observations made on a tour from Bengal to Persia, in the years 1786-7; (DE-588)1141622165",Magazin von merkwürdigen neuen Reisebeschreibungen; Zweyter Band,"<<William Franklins>> Bemerkungen auf einer Reise von Bengalen nach Persien, in den Jahren 1786 und 1787. Mit einer kurzen Geschichte von Persien seit dem Jahre 1747",,,Wien,Wien; (DE-588)4066009-6,Wien; (DE-588)4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton; (DE-588)117025143","Schrämbl, Franz Anton; (DE-588)117025143",1792,1792,"2 ungezählte Seiten, 299 Seiten, 1 ungezählte Seite",,,,8°,Kein illustrierender Inhalt. - Zierleisten im Text ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Der Titel der ersten Manifestation ist der Seite 1 entnommen, derjenigen der zweiten Manifestation der Seite 229",,,ger,eng,Aus dem Englischen übersetzt,,"Saunders, Robert; (DE-588)133389014","Forster, Johann Reinhold; (DE-588)118534432",,,,,,,Reisebericht,"<<Robert Saunders, Wundarztes zu Boglepuhr in Bengalen,>> mineralogische und botanische Reise nach Butan und Tibet","Saunders, Robert: Observations botanical, mineralogical, and medical; ",Bengalen; Iran; Reisebericht 1786-1787; Bhutan; Tibet; Forschungsreise; Mineralogie; Botanik; Reisebericht 1783-1784,TravelogueD18 Asien; TravelogueD18 Orient,,"303755-A.2; MAG .- 276879-A.2; MAG .- UNASSIGNED .- 276879-A,1-20; UNASSIGNED"
AC09731407,990028847610603338,http://data.onb.ac.at/ABO/%2BZ97797606,,,Sammlung neuer und merkwürdiger Reisen zu Wasser und zu Lande; Dritter Theil,"Reisen nach Peru, Acadien und Egypten; worin die Merkwürdigkeiten der Natur und Kunst in diesen Ländern, nebst den Sitten und Gewohnheiten der Einwohner beschrieben werden, aus dem Französischen übersezt. Mit Kupfertafeln und Landkarten; [Herausgegeben von Albrecht von Haller]",,,Göttingen,Göttingen; (DE-588)4021477-1,,Verlegts Abram Vandenhoeks seel. Wittwe,Universitäts-Buchhandlung; (DE-588)6145925-2,,1751,1751,"32 ungezählte Seiten, 428 Seiten, 20 ungezählte Seiten, 2 ungezählte gefaltete Blätter",2 Karten,,2 ,8°,2 Kupferstich-Karten. - Holzschnitt-Vignetten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0158 ; 0352 ; 0516. - Herausgeber Albrecht von Haller bibliografisch ermittelt nach Bibliografie Reiseliteratur Eutin. - Zusammenstellung von Übersetzungen von 3 Reiseberichten","Blatt )(3a-)(5b: Vorrede des Übersetzers, Datum 20.04.1751. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Göttingen Verlegts Abram Vandenhoeks seel. Wittwe 1751. Mit Königl. Pohln. imnd chursfürstl. Sächsischem allgergnäd. Privilegio.","Signaturformel: )(8, )()(8, A-Z8, Aa-Ee8",ger,fre,Aus dem Französischen übersetzte Werke,,"Bouguer, Pierre; (DE-588)117622974 .- Diéreville, N. <<de>>; (DE-588)133620522 .- Granger, Claude; (DE-588)132506297",,,,,,,,Reisebericht,,"Bouguer, Pierre: <<La>> Figure de la terre, déterminée par les observations de Messieurs Bouguer et de La Condamine ... envoyés ... au Pérou;  .- Diéreville, N. <<de>>: Relation du voyage du Port-Royal de l'Acadie, ou de la Nouvelle-France;  .- Granger, Claude: Relation du voyage fait en Égypte; ","Ägypten; Forschungsreise; Granger, Claude; Geschichte 1730-1732; Osmanisches Reich; Kanada; Forschungsreise; Diéreville, N. <<de>>; Geschichte 1699; Forschungsreise; Peru; Bouguer, Pierre; Südamerika; Geschichte 1735-",TravelogueD18 Orient; TravelogueD18 Südamerika Nordamerika Afrika,Zusammenstellung: Zusammenstellung mit übergeordnetem Titel von mehreren Akteuren (Übersetzungen von 3 Werken),251276-B.3; MAG .- UNASSIGNED .- 361.900-B.Kar-; UNASSIGNED
AC10065640,990032264450603338,http://data.onb.ac.at/ABO/%2BZ12492830X,"Lesseps, Jean-Baptiste-Barthélemy <<de>> ; (DE-588)117669903",Journal historique du voyage de M. de Lesseps; 1790; http://viaf.org/viaf/183632090,Magazin von merkwürdigen neuen Reisebeschreibungen; Vierter Band,"<<Herrn von Lesseps Gefährten des Grafen de la Perouse>> Reise durch Kamtschatka und Sibirien nach Frankreich; Aus dem Französischen übersetzt; Mit Anmerkungen von Johann Reinhold Forster, Professor der Naturgeschichte und Mineralogie in Halle, Mitglied der K. Preussischen Akademie der Wissenschaften etc.",,,Berlin,Berlin; (DE-588)4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung; (DE-588)64386-5,,1791,1791,"XXVIII, 544 Seiten, 3 ungezählte gefaltete Blätter",2 Karten,,2 ,8°,Die Illustrationen sind 2 Kupferstich-Karten. - Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0343 (Ferrières-Sauveboeuf). - Gemäß Chatzipanagioti-Sangmeister ist die Übersetzung nicht ident mit der Ausgabe Leipzig, Crusius, 1790. - Der Titel des Hauptwerkes ist der Seite 1 entnommen. - Zusammenstellung von zwei Expressionen mehrere Akteure","Seite [V]-[VI]: Widmungsvorrede des Herausgebers Johann Reinhold Forster an den Kronprinzen Friedrich Wilhelm von Preussen, Datum 08.02.1791. - S. [VII]-XX: Vorrede des Herausgebers Johann Reinhold Forster, Datum 10.02.1791",,ger,fre,Aus dem Französischen übersetzt,,"Ferrières-Sauveboeuf, Louis François <<de>>; (DE-588)119455625","Forster, Johann Reinhold; (DE-588)118534432",,,,,"Forster, Johann Reinhold; (DE-588)118534432",,Reisebericht,"Reisen in der Türkei, Persien und Arabien während der Jahre 1782 bis 1789","Ferrières-Sauveboeuf, Louis François <<de>>: Mémoires historiques, politiques et géographiques des voyages du comte de Ferrieres-Sauveboeuf, faits en Turquie en Perse et en Arabie depuis 1782 jusqu'en 1789; ",Forschungsreise; Sibirien; Halbinsel Kamtschatka; Geschichte 1787-1788; Reise; Orient; Osmanisches Reich; Iran; Geschichte 1782-1789,TravelogueD18 Asien Europa; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzunge von zwei Werken),393869-B.4; MAG .- 264194-B.4; MAG
AC13290113,990057720360603338,http://data.onb.ac.at/ABO/%2BZ258871408,"Anburey, Thomas ; (DE-588)14128255X",Travels through the interior parts of America; (DE-588)115562419X,Magazin von merkwürdigen neuen Reisebeschreibungen; Sechster Band,<<Anburey's>> Reisen im inneren Amerika; Aus dem Englischen übersetzt von Georg Forster,,,Berlin,Berlin; (DE-588)4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung; (DE-588)64386-5,,1792,1792,"IX, 444 Seiten, 1 ungezähltes Blatt Bildtafel, 2 ungezählte gefaltete Blätter","3 Illustrationen, 1 Karte",3 ,1 ,8°,"Die Illustrationen sind 1 Kupferstich-Illustration, 2 Kupferstich-Pläne und 1 Kupferstich-Karte (gezeichnet von D. F. Sotzmann)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; VD18 10239162. - Die Titel sind den Seiten 1, 373 und 399 entnommen.","Seite [III]-IX: Vorrede des Herausgebers Georg Forster, Datum Mainz",,ger,eng; fre,Zusammenstellung von aus dem Englischen und Französischen übersetzten Werken,VD18 10239162-001,"Coste d'Arnobat, Charles Pierre; (DE-588)104318813 .- Howel, Thomas","Forster, Georg; (DE-588)118534416","Forster, Georg; (DE-588)118534416",,,"Schleuen, Johann Wilhelm; (DE-588)124613209 .- Panningh, H. I.",,,Reisebericht,"Reise nach Bambnk [das heißt: Bambuk]; <<Thomas Howels>> Tagebuch seiner Reise von Indien durch Armenien und Natolien oder Kleinasien, nach England","Coste d'Arnobat, Charles Pierre: Voyage au pays de Bambouc; (DE-588)1155937872 .- Howel, Thomas: <<A>> journal of the passage from India, by a route partly unfrequented, through Armenia and Natolia; (DE-588)1155938518","Entdeckungsreise; Nordamerika; Geschichte 1771-1781; Reise; Bambouk; Senegal; Coste d'Arnobat, Charles Pierre; Geschichte 1790; Reise; Indien; Naher Osten; Armenien; Anatolien; Konstantinopel; Howel, Thomas; Geschichte 1787-1788; Orient; Osmanisches Reich",TravelogueD18 Orient; TravelogueD18 Nordamerika Asien,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen von 3 Werken),393869-B.6; MAG
AC03116051,990004458760603338,"http://data.onb.ac.at/ABO/%2BZ42125808;
http://data.onb.ac.at/ABO/%2BZ171040908","Lesseps, Jean-Baptiste-Barthélemy <<de>> ; (DE-588)117669903",Journal historique du voyage de M. de Lesseps; 1790; http://viaf.org/viaf/183632090,Magazin von merkwürdigen neuen Reisebeschreibungen; Siebenter Band,"<<Herrn von Lesseps, Gefährten des Grafen de la Peyrouse>> Reise durch Kamtschatka und Sibirien nach Frankreich; Aus dem Französischen übersetzt",,,Wien,Wien; (DE-588)4066009-6,Wien; (DE-588)4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton; (DE-588)117025143","Schrämbl, Franz Anton; (DE-588)117025143",1792,1792,"XXV, 524 Seiten, 4 gefaltete ungezählte Blätter","2 Karten, 1 Notenbeispiele",,2 ,8°,"Die Illustrationen sind 2 Kupferstich-Karten und 1 Notenbeispiel. - Tabellen, Fußnoten","Bibliografischer Nachweis: Fromm 15123-15125 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0344. - Der Haupttitel ist der Seite 1 entnommen","Seite III-XXV: Vorwort, Datum 10.02.1791",,ger,fre,Aus dem Französischen übersetzt,,,"Forster, Johann Reinhold; (DE-588)118534432","Sander, Johann Daniel; (DE-588)11892737X",,,,,,Reisebericht,,,Forschungsreise; Sibirien; Halbinsel Kamtschatka; Geschichte 1787-1788; Reise; Orient; Türkei; Iran; Geschichte 1782-1789,TravelogueD18 Asien Europa; TravelogueD18 Orient,,"303755-A.7; MAG .- 276879-A.7; MAG .- UNASSIGNED .- 276879-A,1-20; UNASSIGNED"
AC01624340,990001791380603338,"http://data.onb.ac.at/ABO/%2BZ21368904;
http://data.onb.ac.at/ABO/%2BZ171041007","Ferrières-Sauveboeuf, Louis François <<de>> ; (DE-588)119455625","Mémoires historiques, politiques et géographiques des voyages du comte de Ferrières-Sauveboeuf, faits en Turquie, en Perse et en Arabie; 1790",Magazin von merkwürdigen neuen Reisebeschreibungen; 8. Band,"<<Des Grafen von Ferrieres-Sauveboeuf>> Reisen in der Türkey, Persien und Arabien; während der Jahre 1782 bis 1789 ; Mit Bemerkungen über die Religion, die Sitten, den Charakter und den Handel der Bewohner von diesen drey Ländern",,,Wien,Wien; (DE-588)4066009-6,Wien; (DE-588)4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton; (DE-588)117025143","Schrämbl, Franz Anton; (DE-588)117025143",1792,1792,"10 ungezählte Seiten, 410 Seiten",,,,8°,Kein illustrierender Inhalt. - Fußnoten,"Bibliografischer Nachweis: Fromm 9067-68 ; Chatzipanagioti-Sangmeister, 0344. - Titel von Seite 1 entnommen. - Werktitel nach Chatzipanagioti-Sangmeister und VIAF",,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,"Ferrières-Sauveboeuf, Louis François <<de>>; Osmanisches Reich; Reisebericht 1782-1789; Ferrières-Sauveboeuf, Louis François <<de>>; Arabien; Reisebericht 1782-1789; Ferrières-Sauveboeuf, Louis François <<de>>; Iran; Reisebericht 1782-1789",TravelogueD18 Afrika Asien; TravelogueD18 Orient,,"303755-A.8; MAG .- 276879-A.8; MAG .- 276879-A,1-20; UNASSIGNED"
AC03116063,990004458790603338,"http://data.onb.ac.at/ABO/%2BZ42125900;
http://data.onb.ac.at/ABO/%2BZ171041202","Beaufoy, Henry ; (DE-588)117579254",Plan of the association for promoting the discovery of the interior parts of Africa,Magazin von merkwürdigen neuen Reisebeschreibungen; Zehnter Band,Unternehmungen der Gesellschaft zur Beförderung der Entdeckungen im Jnnern von Afrika,,,Wien,Wien; (DE-588)4066009-6,Wien; (DE-588)4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton; (DE-588)117025143","Schrämbl, Franz Anton; (DE-588)117025143",1792,1792,"4 ungezählte Seiten, 361 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1 ,8°,"Die Illustration ist eine Kupferstich-Karte (Karte von Nord- und Zentralafrika, von D. F. Sotzmann, Datum 1791). - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Nachdruck der Ausgabe Berlin, Voss ; Verfasser nicht auf der Titelseite genannt ; Die Titel sind den Seiten 1 und 251 entnommen. - Der Bericht über die ""Unternehmungen der Gesellschaft zur Befürderung der Entdeckungen im Innern von Afrika"" enthält u.a. Berichte über Reisen und Auszüge aus Reiseberichten von: ""Herrn Leyards Ankunft in Kahira."" (Seite 25-52), ""Herrn Lukas Ankunft in Tripoli. Seine Aufnahme bey dem Pascha. Seine Reise nach Mesurata mit den Scherifs Fouwad und Jmhammed"" (Seite 53-89).",,,ger,eng,Aus dem Englischen übersetzt,,"Norris, Robert; (DE-588)100229115",,,,,"Sotzmann, Daniel Friedrich; (DE-588)104285850",,,Reisebericht,,"Norris, Robert: Memoirs of the reign of Bossa Ahadee, King of Dahomey; http://viaf.org/viaf/313402099","Zentralafrika; Reisebericht 1788-1790; Geschichte 1788-1790; Benin; Reisebericht 1772; Geschichte 1772; Norris, Robert; Reise; Ägypten; Geschichte 1788; Ledyard, John; Osmanisches Reich; Reise; Nordafrika; Tripolis; Geschichte 1788; Lukas, ...",TravelogueD18 Afrika; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen),"303755-A.10; MAG .- 276879-A.10; MAG .- UNASSIGNED .- 276879-A,1-20; UNASSIGNED"
