barcode_a,barcode_b,doc2vec_distance,reissue
Z157583008,Z164752105,5.618596076965332,reissue
Z182900000,Z18244920X,8.020705223083496,
Z168353709,Z168353801,8.47175407409668,reissue
Z256471804,Z224214403,11.101641654968262,
Z175034204,Z168091302,13.025240898132324,reissue
Z168091302,Z184140306,14.23271656036377,reissue
Z175034204,Z184140306,14.728354454040527,reissue
Z159588009,Z168091302,16.10808753967285,reissue
Z159588009,Z175034204,17.412607192993164,reissue
Z256471804,Z164752105,18.86516571044922,
Z164752105,Z156265702,19.18262481689453,
Z157583008,Z156265702,19.692768096923828,
Z256471804,Z157583008,20.313804626464844,
Z159588009,Z184140306,21.258243560791016,reissue
Z170807203,Z164752105,21.288602828979492,
Z169010905,Z164752105,21.747364044189453,
Z170807203,Z157583008,21.854402542114258,
Z170807203,Z256471804,22.0939998626709,
Z224214403,Z164752105,23.16112518310547,
Z169010905,Z156265702,23.512271881103516,
Z157583008,Z169010905,23.674575805664062,
Z157583008,Z224214403,24.089664459228516,
Z157598504,Z169010905,24.184661865234375,
Z157598504,Z164752105,24.82109260559082,
Z184400900,Z177009407,24.95602035522461,
Z157598504,Z157583008,25.069923400878906,
Z170807203,Z170807409,25.421283721923828,reissue
Z157598504,Z156265702,25.917118072509766,
Z256471804,Z169010905,26.43259620666504,
Z170807203,Z224214403,26.570655822753906,reissue
Z157598504,Z15657730X,26.670305252075195,
Z256471804,Z156265702,27.81148338317871,
Z170807409,Z157583008,28.775697708129883,
Z170807203,Z169010905,29.270904541015625,
Z156577207,Z15657730X,29.52060317993164,reissue
Z169010905,Z224214403,29.582584381103516,
Z170807409,Z164752105,29.61428451538086,
Z224214403,Z156265702,29.95316505432129,
Z35076705,Z169010905,30.058883666992188,
Z204534306,Z182900000,30.15009117126465,
Z170807203,Z156265702,30.622941970825195,
Z204534306,Z18244920X,30.86395263671875,
Z157583008,Z15657730X,30.900590896606445,
Z204534306,Z224214403,30.941953659057617,reissue
Z15657730X,Z156265702,31.012083053588867,
Z15657730X,Z164752105,31.661245346069336,
Z256471804,Z157598504,32.15210723876953,
Z256471804,Z204534306,33.127952575683594,
Z157598504,Z35076705,33.76539611816406,
Z15657730X,Z169010905,34.017581939697266,
Z256472808,Z224214403,34.25996780395508,
Z256471804,Z256472808,34.43442153930664,
Z157598504,Z224214403,34.46808624267578,reissue
Z170807203,Z157598504,34.58290481567383,reissue
Z170807409,Z156265702,34.84008026123047,
Z157583008,Z182900000,35.03874206542969,
Z182900000,Z156265702,35.318450927734375,
Z182900000,Z164752105,35.875553131103516,
Z18244920X,Z156265702,35.895057678222656,
Z256471804,Z170807409,35.89748764038086,
Z204534306,Z157583008,36.494380950927734,
Z35076705,Z15657730X,36.91413116455078,
Z204534306,Z164752105,36.93095016479492,
Z157583008,Z18244920X,37.06918716430664,
Z256471804,Z156577207,37.401031494140625,
Z15657730X,Z182900000,37.564815521240234,
Z170807409,Z224214403,37.679527282714844,reissue
Z156577207,Z164752105,37.71661376953125,
Z164752105,Z18244920X,37.75091552734375,
Z156577207,Z157583008,37.907344818115234,
Z204534306,Z156265702,38.1008415222168,
Z256471804,Z15657730X,38.565155029296875,
Z170807203,Z256472808,38.616580963134766,
Z15657730X,Z18244920X,38.743812561035156,
Z156577207,Z224214403,39.30257034301758,
Z170807409,Z169010905,39.32476806640625,
Z157598504,Z182900000,39.4565544128418,
Z35076705,Z156265702,39.77549362182617,
