a,b,num_pairs,normalized,url_a,url_b
Z18514390X,Z176246604,8680,5.733157199471599,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z176246604
Z185912505,Z176246604,7280,4.013230429988974,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z176246604
Z184929303,Z176246604,5880,4.326710816777042,http://data.onb.ac.at/ABO/+Z184929303,http://data.onb.ac.at/ABO/+Z176246604
Z253367704,Z176246604,5040,2.7228525121555918,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z176246604
Z180628606,Z176246604,4760,2.631288004422333,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z176246604
Z176246604,Z185143704,4760,3.4897360703812317,http://data.onb.ac.at/ABO/+Z176246604,http://data.onb.ac.at/ABO/+Z185143704
Z163300909,Z176246604,3920,2.49205340114431,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z176246604
Z160260500,Z176246604,3920,2.6379542395693134,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z176246604
Z168096506,Z176246604,3360,1.7777777777777777,http://data.onb.ac.at/ABO/+Z168096506,http://data.onb.ac.at/ABO/+Z176246604
Z176246604,Z185158008,3360,2.559025133282559,http://data.onb.ac.at/ABO/+Z176246604,http://data.onb.ac.at/ABO/+Z185158008
Z185142104,Z176246604,3080,2.442505947660587,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z176246604
Z156577207,Z176246604,2800,2.2204599524187154,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z176246604
Z15958790X,Z176246604,2240,1.6302765647743813,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z176246604
Z158160208,Z176246604,2240,1.1313131313131313,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z176246604
Z182822001,Z176246604,1960,1.4223512336719883,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z176246604
Z25647300X,Z176246604,1960,1.443298969072165,http://data.onb.ac.at/ABO/+Z25647300X,http://data.onb.ac.at/ABO/+Z176246604
Z185142001,Z176246604,1680,1.2923076923076924,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z176246604
Z185912505,Z18514390X,1612,1.571150097465887,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z18514390X
Z165709803,Z176246604,1400,0.812536273940801,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z176246604
Z156771000,Z176246604,1400,0.8428657435279951,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z176246604
Z185157107,Z176246604,1400,1.0687022900763359,http://data.onb.ac.at/ABO/+Z185157107,http://data.onb.ac.at/ABO/+Z176246604
Z185157909,Z176246604,1400,1.0502625656414104,http://data.onb.ac.at/ABO/+Z185157909,http://data.onb.ac.at/ABO/+Z176246604
Z168354106,Z176246604,1400,1.08359133126935,http://data.onb.ac.at/ABO/+Z168354106,http://data.onb.ac.at/ABO/+Z176246604
Z184929303,Z18514390X,1302,2.2802101576182134,http://data.onb.ac.at/ABO/+Z184929303,http://data.onb.ac.at/ABO/+Z18514390X
Z253367704,Z18514390X,1116,1.0498588899341486,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z18514390X
Z185912505,Z184929303,1092,1.2537313432835822,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z184929303
Z180628606,Z18514390X,1054,1.0323212536728696,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z18514390X
Z18514390X,Z185143704,1054,1.8298611111111112,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z185143704
Z185912505,Z253367704,936,0.6867204695524578,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z253367704
Z180628606,Z185912505,884,0.6691900075700227,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z185912505
Z185912505,Z185143704,884,1.0091324200913243,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z185143704
Z163300909,Z18514390X,868,1.105732484076433,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z18514390X
Z160260500,Z18514390X,868,1.2435530085959885,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z18514390X
Z167120604,Z176246604,840,0.6100217864923747,http://data.onb.ac.at/ABO/+Z167120604,http://data.onb.ac.at/ABO/+Z176246604
Z176246604,Z164172903,840,0.6730769230769231,http://data.onb.ac.at/ABO/+Z176246604,http://data.onb.ac.at/ABO/+Z164172903
Z253367704,Z184929303,756,0.8325991189427313,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z184929303
Z168096506,Z18514390X,744,0.6751361161524501,http://data.onb.ac.at/ABO/+Z168096506,http://data.onb.ac.at/ABO/+Z18514390X
Z18514390X,Z185158008,744,1.417142857142857,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z185158008
Z163300909,Z185912505,728,0.6709677419354839,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z185912505
Z185912505,Z160260500,728,0.7294589178356713,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z160260500
Z180628606,Z184929303,714,0.8244803695150116,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z184929303
Z184929303,Z185143704,714,1.6959619952494063,http://data.onb.ac.at/ABO/+Z184929303,http://data.onb.ac.at/ABO/+Z185143704
Z185142104,Z18514390X,684,1.4460887949260042,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z18514390X
Z185912505,Z185158008,624,0.7563636363636363,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z185158008
Z185912505,Z168096506,624,0.4450784593437946,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z168096506
Z156577207,Z18514390X,620,1.3107822410147991,http://data.onb.ac.at/ABO/+Z156577207,http://data.onb.ac.at/ABO/+Z18514390X
Z180628606,Z253367704,612,0.45066273932253315,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z253367704
Z253367704,Z185143704,612,0.6703176341730559,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z185143704
Z163300909,Z184929303,588,0.9333333333333333,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z184929303
Z160260500,Z184929303,588,1.0828729281767955,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z184929303
Z180628606,Z185143704,578,0.6636050516647531,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z185143704
Z185912505,Z185142104,572,0.7399741267787839,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z185142104
Z156843801,Z176246604,560,0.32941176470588235,http://data.onb.ac.at/ABO/+Z156843801,http://data.onb.ac.at/ABO/+Z176246604
Z185142207,Z176246604,560,0.37583892617449666,http://data.onb.ac.at/ABO/+Z185142207,http://data.onb.ac.at/ABO/+Z176246604
Z178362103,Z176246604,560,0.44550517104216386,http://data.onb.ac.at/ABO/+Z178362103,http://data.onb.ac.at/ABO/+Z176246604
Z180631800,Z176246604,560,0.33273915626856804,http://data.onb.ac.at/ABO/+Z180631800,http://data.onb.ac.at/ABO/+Z176246604
Z15657730X,Z176246604,560,0.45901639344262296,http://data.onb.ac.at/ABO/+Z15657730X,http://data.onb.ac.at/ABO/+Z176246604
Z176245508,Z176246604,560,0.26743075453677173,http://data.onb.ac.at/ABO/+Z176245508,http://data.onb.ac.at/ABO/+Z176246604
Z182900000,Z176246604,560,0.4717775905644482,http://data.onb.ac.at/ABO/+Z182900000,http://data.onb.ac.at/ABO/+Z176246604
Z168091302,Z176246604,560,0.42585551330798477,http://data.onb.ac.at/ABO/+Z168091302,http://data.onb.ac.at/ABO/+Z176246604
Z168353709,Z176246604,560,0.45491470349309504,http://data.onb.ac.at/ABO/+Z168353709,http://data.onb.ac.at/ABO/+Z176246604
Z176246604,Z184140306,560,0.426179604261796,http://data.onb.ac.at/ABO/+Z176246604,http://data.onb.ac.at/ABO/+Z184140306
Z176246604,Z164752105,560,0.47986289631533846,http://data.onb.ac.at/ABO/+Z176246604,http://data.onb.ac.at/ABO/+Z164752105
Z176246604,Z165780108,560,0.41947565543071164,http://data.onb.ac.at/ABO/+Z176246604,http://data.onb.ac.at/ABO/+Z165780108
Z185912505,Z156577207,520,0.6727037516170763,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z156577207
Z163300909,Z253367704,504,0.44919786096256686,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z253367704
Z160260500,Z253367704,504,0.48695652173913045,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z253367704
Z168096506,Z184929303,504,0.53220696937698,http://data.onb.ac.at/ABO/+Z168096506,http://data.onb.ac.at/ABO/+Z184929303
Z184929303,Z185158008,504,1.3621621621621622,http://data.onb.ac.at/ABO/+Z184929303,http://data.onb.ac.at/ABO/+Z185158008
Z15958790X,Z18514390X,496,0.8464163822525598,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z18514390X
Z158160208,Z18514390X,496,0.4161073825503356,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z18514390X
Z163300909,Z185143704,476,0.7496062992125985,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z185143704
