cluster,barcode,abo_url
0,Z180648307,http://data.onb.ac.at/ABO/+Z180648307
1,Z220300106,http://data.onb.ac.at/ABO/+Z220300106
2,Z159948701,http://data.onb.ac.at/ABO/+Z159948701
3,Z164594706,http://data.onb.ac.at/ABO/+Z164594706
4,Z201274103,http://data.onb.ac.at/ABO/+Z201274103
5,Z19753230X,http://data.onb.ac.at/ABO/+Z19753230X
6,Z260071609,http://data.onb.ac.at/ABO/+Z260071609
7,Z168353904,http://data.onb.ac.at/ABO/+Z168353904
8,Z159579100,http://data.onb.ac.at/ABO/+Z159579100
9,Z168351208,http://data.onb.ac.at/ABO/+Z168351208
10,Z206541004,http://data.onb.ac.at/ABO/+Z206541004
11,Z166652606,http://data.onb.ac.at/ABO/+Z166652606
12,Z156398106,http://data.onb.ac.at/ABO/+Z156398106
12,Z164617007,http://data.onb.ac.at/ABO/+Z164617007
13,Z164646202,http://data.onb.ac.at/ABO/+Z164646202
13,Z105518505,http://data.onb.ac.at/ABO/+Z105518505
14,Z220030607,http://data.onb.ac.at/ABO/+Z220030607
14,Z202956908,http://data.onb.ac.at/ABO/+Z202956908
15,Z168355408,http://data.onb.ac.at/ABO/+Z168355408
15,Z185157703,http://data.onb.ac.at/ABO/+Z185157703
16,Z178293907,http://data.onb.ac.at/ABO/+Z178293907
16,Z185144101,http://data.onb.ac.at/ABO/+Z185144101
17,Z157614406,http://data.onb.ac.at/ABO/+Z157614406
17,Z180631708,http://data.onb.ac.at/ABO/+Z180631708
18,Z166663707,http://data.onb.ac.at/ABO/+Z166663707
18,Z166665601,http://data.onb.ac.at/ABO/+Z166665601
19,Z205028809,http://data.onb.ac.at/ABO/+Z205028809
19,Z205028706,http://data.onb.ac.at/ABO/+Z205028706
20,Z179149105,http://data.onb.ac.at/ABO/+Z179149105
20,Z16721300X,http://data.onb.ac.at/ABO/+Z16721300X
21,Z103507504,http://data.onb.ac.at/ABO/+Z103507504
21,Z103507401,http://data.onb.ac.at/ABO/+Z103507401
22,Z26007720X,http://data.onb.ac.at/ABO/+Z26007720X
22,Z252901907,http://data.onb.ac.at/ABO/+Z252901907
23,Z180059703,http://data.onb.ac.at/ABO/+Z180059703
23,Z162737708,http://data.onb.ac.at/ABO/+Z162737708
23,Z156319401,http://data.onb.ac.at/ABO/+Z156319401
24,Z158022808,http://data.onb.ac.at/ABO/+Z158022808
24,Z164724109,http://data.onb.ac.at/ABO/+Z164724109
24,Z178361408,http://data.onb.ac.at/ABO/+Z178361408
25,Z257381902,http://data.onb.ac.at/ABO/+Z257381902
25,Z159574205,http://data.onb.ac.at/ABO/+Z159574205
25,Z15248840X,http://data.onb.ac.at/ABO/+Z15248840X
26,Z159579306,http://data.onb.ac.at/ABO/+Z159579306
26,Z105572305,http://data.onb.ac.at/ABO/+Z105572305
26,Z163300508,http://data.onb.ac.at/ABO/+Z163300508
27,Z166665509,http://data.onb.ac.at/ABO/+Z166665509
27,Z166659108,http://data.onb.ac.at/ABO/+Z166659108
27,Z166665406,http://data.onb.ac.at/ABO/+Z166665406
27,Z166665108,http://data.onb.ac.at/ABO/+Z166665108
28,Z168352201,http://data.onb.ac.at/ABO/+Z168352201
28,Z185144903,http://data.onb.ac.at/ABO/+Z185144903
28,Z168355007,http://data.onb.ac.at/ABO/+Z168355007
28,Z168352109,http://data.onb.ac.at/ABO/+Z168352109
29,Z168354908,http://data.onb.ac.at/ABO/+Z168354908
29,Z168351907,http://data.onb.ac.at/ABO/+Z168351907
